Accession	Gene_name	Organism	Function	Subcellular_location	Length
A0A3Q2YQK2	NA	Hippocampus comes	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	316
A0A3Q2Z1N5	VDAC2	Hippocampus comes	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q2ZN70	NA	Kryptolebias marmoratus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	317
A0A3Q3B8K6	NA	Kryptolebias marmoratus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	276
A0A3Q3C6J4	VDAC2	Haplochromis burtoni	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q3EPE5	VDAC2	Labrus bergylta	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q3EPG7	VDAC2	Labrus bergylta	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	307
A0A3Q3ETX3	NA	Kryptolebias marmoratus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	349
A0A3Q3FFH9	VDAC3	Labrus bergylta	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	282
A0A3Q3G9J2	NA	Kryptolebias marmoratus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	281
A0A3Q3GDX4	VDAC2	Kryptolebias marmoratus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q3GIS7	NA	Labrus bergylta	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	299
A0A3Q3IW87	NA	Monopterus albus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	256
A0A3Q3J8B0	NA	Monopterus albus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	282
A0A3Q3JIZ1	NA	Monopterus albus	NA	Mitochondrion outer membrane	342
A0A3Q3JJQ6	NA	Monopterus albus	NA	Mitochondrion outer membrane	341
A0A3Q3JWW8	NA	Monopterus albus	NA	Mitochondrion outer membrane	310
A0A3Q3K6T0	NA	Monopterus albus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	281
A0A3Q3K8V3	NA	Monopterus albus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	347
A0A3Q3KL98	NA	Monopterus albus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	385
A0A3Q3KRP9	NA	Monopterus albus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q3M0U0	NA	Mastacembelus armatus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	300
A0A3Q3MDV5	NA	Mastacembelus armatus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	323
A0A3Q3ME84	VDAC2	Mastacembelus armatus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A3Q3N0K0	VDAC2	Mastacembelus armatus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	262
A0A3Q3RAK8	NA	Monopterus albus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	313
